"","Pod","Number_of_Sightings"
"1","Ts",8947
"2","J",7057
"3","unk",6527
"4","T",3098
"5","JKL",957
"6","JL",867
"7","Js",664
"8","SRs",592
"9","JK",569
"10","K",546
"11","L",495
"12","Jp",383
"13","KL",225
"14","J, K",76
"15","Lp",75
"16","J&K",62
"17","T065As",59
"18","JKp",54
"19","JLp",50
"20","Kp",47
"21","T65As",45
"22","T018s",39
"23","T065s",37
"24","SRKW",35
"25","Jp, Kp, Lp",32
"26","Ks",28
"27","L12s",28
"28","T's",27
"29","T060s",27
"30","J,K,L",26
"31","T101s",24
"32","T046Bs",23
"33","JKLp",22
"34","T049As",22
"35","T046s",21
"36","J, L",17
"37","KLp",15
"38","J16s",14
"39","SRs?",14
"40","Jp,Kp,Lp",13
"41","J;K;L",12
"42","Ls",12
"43","J,L",11
"44","JL87",11
"45","T065As; T1",11
"46","T065Bs",11
"47","T100s",11
"48","T124As",11
"49","J; K",10
"50","JKpL87",10
"51","JpKp",10
"52","T065Bs; T0",10
"53","T077A",10
"54","T101s; T03",10
"55","T123s",10
"56","T124s",10
"57","J, Kp",9
"58","JKL87",9
"59","JpLp",9
"60","J17s",8
"61","Jp, Lp, Kp",8
"62","T065s; T13",8
"63","T10s",8
"64","J,K,Lp",7
"65","J?",7
"66","T037As",7
"67","T065As; T0",7
"68","T075s",7
"69","T077A; T03",7
"70","T137s; T04",7
"71","J;L",6
"72","Jp, Kp",6
"73","Jp, Lp",6
"74","JsL87",6
"75","T034s; T03",6
"76","T077; T077",6
"77","T123; T046",6
"78","J,K",5
"79","KsLs",5
"80","T036s; T06",5
"81","T065A2",5
"82","T077; T065",5
"83","JK13",4
"84","JK13s",4
"85","JL?",4
"86","JpKpL87",4
"87","K?",4
"88","Kp, Lp",4
"89","T036s",4
"90","T65Bs",4
"91","JpL",3
"92","K; L",3
"93","Kp,Lp",3
"94","T046s; T04",3
"95","T046s; T46",3
"96","T049s",3
"97","T077s",3
"98","T124C",3
"99","T137A; T06",3
"100","T36A1; T12",3
"101","T75B; T75C",3
"102","TS",3
"103","J,Lp",2
"104","J; K40",2
"105","J; L",2
"106","J; L; K40",2
"107","J?; L?",2
"108","J?KL",2
"109","JKL?",2
"110","JKpL12s",2
"111","JL12s",2
"112","JLp?",2
"113","JpKpLp",2
"114","Js, Ks",2
"115","JsKsL",2
"116","JsKsLs",2
"117","K,L",2
"118","KpLp",2
"119","KsL",2
"120","L12sL87",2
"121","L87",2
"122","Lp?",2
"123","SR",2
"124","T016s",2
"125","T037s; T03",2
"126","T045Bs",2
"127","T053s",2
"128","T065B; T06",2
"129","T065Bs; T1",2
"130","T077C; T07",2
"131","T10s; T109",2
"132","T137s; T65",2
"133","T65A",2
"134","T85s",2
"135","Ts?",2
"136","j",2
"137","J & K",1
"138","J L87",1
"139","J&k",1
"140","J, Kp, Lp",1
"141","J, Lp",1
"142","J, kp",1
"143","J,Kp",1
"144","J,Kp,Lp",1
"145","J,Lpartial",1
"146","J19s",1
"147","J19s; L87;",1
"148","J22; J38",1
"149","J22s?",1
"150","J27",1
"151","J27?",1
"152","J38",1
"153","J?L",1
"154","JK?",1
"155","JK?L?",1
"156","JKpLp?",1
"157","JP",1
"158","Jp, Kp,",1
"159","Jp, Kp, LP",1
"160","Jp, Kp, Sp",1
"161","Jp,Kp",1
"162","Jp,KpLp",1
"163","Jp,Lp,Kp",1
"164","Jp,Lp.Kp",1
"165","Jp; Lp; K3",1
"166","Jp; Lp; Kp",1
"167","Jp?",1
"168","JpK13L87",1
"169","JpKp,Lp",1
"170","Js L87",1
"171","Js, Ls, Ks",1
"172","JsLs",1
"173","K. L",1
"174","K13s",1
"175","Kp, Jp",1
"176","Kp, Lp, Jp",1
"177","Kp; L86",1
"178","KpL54",1
"179","L, K",1
"180","L22s",1
"181","L55",1
"182","L?",1
"183","Lp, Kp,",1
"184","SRKWs",1
"185","T034s",1
"186","T045B2; T0",1
"187","T046",1
"188","T046?; T04",1
"189","T046A; T04",1
"190","T046B1s",1
"191","T046Bs; T0",1
"192","T046Bs; T1",1
"193","T046Bs?",1
"194","T049A3",1
"195","T060Bs",1
"196","T065s; T03",1
"197","T077",1
"198","T077B; T07",1
"199","T077s; T06",1
"200","T123C?",1
"201","T123s?; T0",1
"202","T124; T036",1
"203","T124; T065",1
"204","T124A1; T1",1
"205","T124As; T3",1
"206","T124s; T03",1
"207","T137A",1
"208","T37; T37B",1
"209","T49As",1
"210","T65A2; T13",1
"211","T65A; T65A",1
"212","T65B",1
"213","k",1
"214","t",1
