Year,Quadrant,total_count,Location
2017,167,14,SJI_North
2017,168,2,SJI_North
2017,169,14,SJI_North
2017,175,3,SJI_West
2017,176,14,SJI_West
2017,177,9,SJI_West
2017,180,5,SJI_West
2017,181,51,SJI_West
2017,182,1,SJI_West
2017,183,2,SJI_West
2017,184,2,SJI_West
2017,185,8,SJI_South
2017,186,14,SJI_South
2017,187,17,SJI_South
2017,188,27,SJI_East
2017,192,19,SJI_East
2017,400,2,Seattle
2017,401,104,Seattle
2017,402,24,Seattle
2017,403,4,Seattle
2017,404,13,Seattle
2017,405,2,Seattle
2017,407,12,Seattle
2017,408,6,Seattle
2017,409,4,Seattle
2017,41,2,Seattle
2017,410,6,Seattle
2017,411,1,Seattle
2017,412,11,Seattle
2017,413,2,Seattle
2017,414,6,Seattle
2018,167,2,SJI_North
2018,168,10,SJI_North
2018,169,8,SJI_North
2018,176,7,SJI_West
2018,177,7,SJI_West
2018,180,6,SJI_West
2018,181,47,SJI_West
2018,183,2,SJI_West
2018,184,1,SJI_West
2018,185,8,SJI_South
2018,186,17,SJI_South
2018,187,11,SJI_South
2018,188,12,SJI_East
2018,192,19,SJI_East
2018,400,7,Seattle
2018,401,33,Seattle
2018,402,23,Seattle
2018,403,1,Seattle
2018,404,7,Seattle
2018,405,3,Seattle
2018,406,1,Seattle
2018,407,9,Seattle
2018,408,14,Seattle
2018,409,11,Seattle
2018,41,8,Seattle
2018,410,2,Seattle
2018,411,2,Seattle
2018,413,5,Seattle
2018,414,9,Seattle
2019,167,11,SJI_North
2019,168,9,SJI_North
2019,169,17,SJI_North
2019,175,3,SJI_West
2019,176,21,SJI_West
2019,177,3,SJI_West
2019,180,11,SJI_West
2019,181,112,SJI_West
2019,183,2,SJI_West
2019,184,3,SJI_West
2019,185,2,SJI_South
2019,186,10,SJI_South
2019,187,6,SJI_South
2019,188,17,SJI_East
2019,192,6,SJI_East
2019,400,5,Seattle
2019,401,69,Seattle
2019,402,20,Seattle
2019,404,9,Seattle
2019,405,2,Seattle
2019,407,10,Seattle
2019,408,11,Seattle
2019,409,17,Seattle
2019,410,9,Seattle
2019,411,1,Seattle
2019,412,3,Seattle
2019,413,13,Seattle
2019,414,4,Seattle
2020,168,3,SJI_North
2020,169,10,SJI_North
2020,175,5,SJI_West
2020,176,44,SJI_West
2020,177,2,SJI_West
2020,181,117,SJI_West
2020,182,1,SJI_West
2020,184,9,SJI_West
2020,185,27,SJI_South
2020,186,14,SJI_South
2020,187,17,SJI_South
2020,188,13,SJI_East
2020,192,13,SJI_East
2020,401,48,Seattle
2020,402,7,Seattle
2020,403,2,Seattle
2020,404,18,Seattle
2020,407,27,Seattle
2020,408,5,Seattle
2020,409,29,Seattle
2020,412,1,Seattle
2020,413,1,Seattle
2021,167,6,SJI_North
2021,168,4,SJI_North
2021,169,17,SJI_North
2021,175,9,SJI_West
2021,176,34,SJI_West
2021,177,9,SJI_West
2021,181,79,SJI_West
2021,183,5,SJI_West
2021,184,6,SJI_West
2021,185,11,SJI_South
2021,186,17,SJI_South
2021,187,11,SJI_South
2021,188,21,SJI_East
2021,192,10,SJI_East
2021,401,7,Seattle
2021,402,1,Seattle
2021,407,1,Seattle
2021,408,1,Seattle
2021,409,4,Seattle
2021,410,2,Seattle
2021,411,1,Seattle
2021,412,1,Seattle
2021,413,3,Seattle
2021,414,3,Seattle
2022,167,2,SJI_North
2022,169,16,SJI_North
2022,176,24,SJI_West
2022,177,2,SJI_West
2022,181,81,SJI_West
2022,182,1,SJI_West
2022,184,11,SJI_West
2022,185,2,SJI_South
2022,186,20,SJI_South
2022,187,6,SJI_South
2022,188,25,SJI_East
2022,192,6,SJI_East
2022,400,1,Seattle
2022,401,31,Seattle
2022,402,5,Seattle
2022,403,2,Seattle
2022,405,3,Seattle
2022,406,2,Seattle
2022,407,9,Seattle
2022,408,3,Seattle
2022,409,5,Seattle
2022,410,3,Seattle
2022,411,5,Seattle
2022,412,16,Seattle
2022,413,14,Seattle
2022,414,20,Seattle
