Year,Quadrant,"J,K,L Pod",Southern Residents,Transients,Unknown,Location
2017,167,3,1,20,2,SJI_North
2017,168,3,0,21,2,SJI_North
2017,169,5,0,20,2,SJI_North
2017,175,2,0,5,0,SJI_West
2017,176,23,32,45,10,SJI_West
2017,177,1,0,13,0,SJI_West
2017,178,0,0,2,0,SJI_West
2017,179,0,0,1,0,SJI_West
2017,180,14,4,20,0,SJI_West
2017,181,176,45,66,59,SJI_West
2017,182,2,0,14,0,SJI_West
2017,183,4,0,4,0,SJI_West
2017,184,27,1,8,1,SJI_West
2017,185,28,0,3,3,SJI_South
2017,186,19,3,30,3,SJI_South
2017,187,3,3,31,2,SJI_South
2017,188,5,1,29,5,SJI_East
2017,191,0,0,15,1,SJI_East
2017,192,6,0,24,3,SJI_East
2017,400,14,2,15,4,Seattle
2017,401,66,13,94,17,Seattle
2017,402,28,5,39,5,Seattle
2017,403,2,1,12,2,Seattle
2017,404,11,1,9,0,Seattle
2017,405,2,0,13,0,Seattle
2017,406,0,0,3,0,Seattle
2017,407,25,6,34,10,Seattle
2017,408,43,5,33,5,Seattle
2017,409,8,1,18,4,Seattle
2017,410,24,12,23,4,Seattle
2017,411,3,0,61,0,Seattle
2017,412,14,2,32,2,Seattle
2017,413,30,2,28,9,Seattle
2017,414,35,1,21,8,Seattle
2018,167,4,0,24,0,SJI_North
2018,168,3,0,36,0,SJI_North
2018,169,13,1,28,0,SJI_North
2018,175,0,0,6,0,SJI_West
2018,176,26,7,21,10,SJI_West
2018,177,3,0,9,0,SJI_West
2018,179,0,0,1,0,SJI_West
2018,180,4,1,6,0,SJI_West
2018,181,250,113,81,30,SJI_West
2018,182,0,0,4,0,SJI_West
2018,183,0,0,2,0,SJI_West
2018,184,19,2,4,1,SJI_West
2018,185,24,11,5,5,SJI_South
2018,186,39,7,27,1,SJI_South
2018,187,2,0,24,2,SJI_South
2018,188,7,2,54,1,SJI_East
2018,191,0,1,15,0,SJI_East
2018,192,5,0,33,1,SJI_East
2018,400,8,0,9,0,Seattle
2018,401,60,4,62,2,Seattle
2018,402,21,0,25,1,Seattle
2018,403,2,0,9,0,Seattle
2018,404,8,0,8,0,Seattle
2018,405,0,0,8,0,Seattle
2018,406,0,0,3,0,Seattle
2018,407,24,0,35,0,Seattle
2018,408,29,0,34,0,Seattle
2018,409,4,0,16,1,Seattle
2018,410,22,1,29,0,Seattle
2018,411,0,0,20,0,Seattle
2018,412,30,0,35,0,Seattle
2018,413,23,1,19,0,Seattle
2018,414,29,0,25,0,Seattle
2019,167,1,0,14,1,SJI_North
2019,168,0,0,21,2,SJI_North
2019,169,12,0,29,1,SJI_North
2019,175,3,0,13,0,SJI_West
2019,176,25,1,17,2,SJI_West
2019,177,3,0,9,1,SJI_West
2019,180,8,0,18,1,SJI_West
2019,181,139,32,60,45,SJI_West
2019,182,0,0,6,2,SJI_West
2019,183,2,0,6,0,SJI_West
2019,184,60,2,10,8,SJI_West
2019,185,23,0,6,7,SJI_South
2019,186,5,0,29,6,SJI_South
2019,187,3,0,25,7,SJI_South
2019,188,3,1,46,8,SJI_East
2019,191,0,0,19,2,SJI_East
2019,192,0,0,16,0,SJI_East
2019,400,38,2,3,19,Seattle
2019,401,84,5,64,55,Seattle
2019,402,27,1,25,21,Seattle
2019,403,6,1,5,1,Seattle
2019,404,13,1,10,6,Seattle
2019,405,4,0,2,2,Seattle
2019,406,1,0,10,1,Seattle
2019,407,28,9,32,19,Seattle
2019,408,15,12,25,38,Seattle
2019,409,4,6,10,12,Seattle
2019,410,18,4,37,31,Seattle
2019,411,4,1,68,1,Seattle
2019,412,12,3,37,20,Seattle
2019,413,9,2,23,27,Seattle
2019,414,21,0,27,36,Seattle
2020,167,0,0,9,2,SJI_North
2020,168,2,0,23,3,SJI_North
2020,169,3,0,35,9,SJI_North
2020,175,4,0,0,0,SJI_West
2020,176,43,0,23,11,SJI_West
2020,177,2,0,0,0,SJI_West
2020,180,0,0,2,0,SJI_West
2020,181,266,50,90,51,SJI_West
2020,182,0,0,8,1,SJI_West
2020,183,1,0,5,0,SJI_West
2020,184,97,0,14,2,SJI_West
2020,185,57,40,12,5,SJI_South
2020,186,23,9,27,4,SJI_South
2020,187,3,0,15,8,SJI_South
2020,188,6,0,35,8,SJI_East
2020,191,1,0,14,5,SJI_East
2020,192,3,0,18,6,SJI_East
2020,400,6,0,1,4,Seattle
2020,401,74,0,44,29,Seattle
2020,402,29,0,10,7,Seattle
2020,403,7,0,0,0,Seattle
2020,404,7,0,3,2,Seattle
2020,405,1,0,9,3,Seattle
2020,406,4,0,10,4,Seattle
2020,407,68,0,29,18,Seattle
2020,408,49,0,39,8,Seattle
2020,409,23,0,13,8,Seattle
2020,410,24,0,24,8,Seattle
2020,411,0,0,23,4,Seattle
2020,412,35,0,64,10,Seattle
2020,413,37,0,30,2,Seattle
2020,414,58,0,41,2,Seattle
2021,167,2,0,21,6,SJI_North
2021,168,1,0,21,4,SJI_North
2021,169,7,0,22,9,SJI_North
2021,175,0,0,2,8,SJI_West
2021,176,9,0,18,33,SJI_West
2021,177,1,0,4,3,SJI_West
2021,179,0,0,2,1,SJI_West
2021,180,0,0,2,1,SJI_West
2021,181,60,0,62,101,SJI_West
2021,182,0,0,6,1,SJI_West
2021,183,0,0,5,1,SJI_West
2021,184,8,0,15,14,SJI_West
2021,185,9,0,15,21,SJI_South
2021,186,6,0,14,15,SJI_South
2021,187,3,0,6,12,SJI_South
2021,188,13,0,32,24,SJI_East
2021,191,0,0,9,8,SJI_East
2021,192,8,0,32,10,SJI_East
2021,400,2,0,9,23,Seattle
2021,401,8,0,29,113,Seattle
2021,402,1,0,12,38,Seattle
2021,403,0,0,3,4,Seattle
2021,404,0,0,1,12,Seattle
2021,405,0,0,1,5,Seattle
2021,406,0,0,0,4,Seattle
2021,407,4,0,14,55,Seattle
2021,408,7,0,12,52,Seattle
2021,409,0,0,4,25,Seattle
2021,410,2,0,2,44,Seattle
2021,411,0,0,1,21,Seattle
2021,412,1,0,14,84,Seattle
2021,413,6,0,7,35,Seattle
2021,414,1,0,7,55,Seattle
2022,167,1,0,5,0,SJI_North
2022,168,0,0,2,1,SJI_North
2022,169,12,0,4,3,SJI_North
2022,175,11,0,0,0,SJI_West
2022,176,47,0,11,8,SJI_West
2022,177,4,0,7,0,SJI_West
2022,180,0,0,2,0,SJI_West
2022,181,159,0,32,21,SJI_West
2022,182,2,1,5,0,SJI_West
2022,183,0,0,1,0,SJI_West
2022,184,82,0,0,15,SJI_West
2022,185,41,0,2,12,SJI_South
2022,186,7,0,19,8,SJI_South
2022,187,0,0,5,3,SJI_South
2022,188,15,0,14,21,SJI_East
2022,191,6,0,7,6,SJI_East
2022,192,5,0,4,8,SJI_East
2022,400,9,0,3,15,Seattle
2022,401,33,0,16,77,Seattle
2022,402,6,0,6,31,Seattle
2022,403,1,0,2,1,Seattle
2022,404,4,0,4,0,Seattle
2022,405,0,0,5,8,Seattle
2022,406,0,0,3,6,Seattle
2022,407,17,0,7,37,Seattle
2022,408,10,0,3,42,Seattle
2022,409,1,0,4,15,Seattle
2022,410,23,0,5,28,Seattle
2022,411,0,0,6,6,Seattle
2022,412,8,0,4,43,Seattle
2022,413,13,0,8,36,Seattle
2022,414,18,0,5,35,Seattle
