Year,Quadrant,Transients,Unknown,"J,K,L Pod",Southern Residents
2017,2,2,1,0,0
2017,5,1,0,0,0
2017,10,2,0,0,0
2017,11,2,0,0,0
2017,12,1,0,0,0
2017,13,11,0,0,0
2017,14,1,0,0,0
2017,15,2,0,0,0
2017,16,3,0,0,0
2017,17,3,1,0,0
2017,19,1,1,0,0
2017,20,5,0,3,0
2017,21,4,0,4,0
2017,22,1,0,0,0
2017,23,0,0,1,0
2017,27,0,0,1,0
2017,30,1,0,0,0
2017,32,0,1,0,0
2017,33,3,0,0,0
2017,34,4,0,0,0
2017,36,2,0,0,0
2017,38,2,0,0,0
2017,42,0,0,5,0
2017,43,6,0,0,0
2017,44,2,0,6,0
2017,46,11,0,0,0
2017,47,4,0,1,0
2017,49,4,0,0,0
2017,50,4,0,0,0
2017,51,2,0,1,0
2017,52,4,0,0,0
2017,53,8,0,0,0
2017,54,19,1,5,0
2017,55,14,0,3,0
2017,56,4,0,0,0
2017,57,5,0,1,0
2017,58,1,0,0,0
2017,59,5,0,2,0
2017,60,5,0,3,0
2017,61,2,0,2,0
2017,62,0,1,0,0
2017,64,7,1,5,0
2017,65,6,0,1,0
2017,66,3,0,0,0
2017,67,1,0,0,0
2017,68,1,0,0,0
2017,69,7,0,0,0
2017,70,3,0,0,0
2017,71,5,0,0,0
2017,72,7,0,0,0
2017,73,0,0,1,0
2017,74,3,0,0,0
2017,75,4,0,0,0
2017,76,3,0,2,0
2017,77,6,0,4,0
2017,79,1,0,2,0
2017,80,4,1,8,1
2017,81,3,0,3,0
2017,82,2,0,0,0
2017,83,6,0,0,0
2017,84,1,0,0,0
2017,85,4,0,0,0
2017,86,7,0,0,0
2017,87,13,0,0,0
2017,89,1,0,0,0
2017,90,5,0,2,0
2017,91,4,0,0,0
2017,92,1,0,0,0
2017,93,9,0,0,0
2017,94,6,0,0,0
2017,95,2,0,0,0
2017,96,2,0,0,0
2017,97,7,0,8,0
2017,108,0,0,1,0
2017,109,1,0,0,0
2017,110,1,0,0,0
2017,111,1,0,0,0
2017,113,4,0,0,0
2017,114,3,0,0,0
2017,115,1,0,0,0
2017,116,4,0,0,0
2017,117,8,0,0,0
2017,118,10,0,1,0
2017,119,5,0,3,0
2017,120,0,1,0,0
2017,121,5,0,0,0
2017,122,6,0,1,0
2017,123,29,6,4,1
2017,124,20,1,4,0
2017,125,3,0,0,0
2017,127,3,0,0,0
2017,130,1,0,0,0
2017,132,1,0,1,0
2017,133,2,0,0,0
2017,134,2,0,0,0
2017,135,2,0,0,0
2017,136,4,0,0,0
2017,137,5,0,0,0
2017,138,8,0,0,0
2017,139,3,1,0,0
2017,140,5,0,1,0
2017,141,7,0,0,0
2017,142,5,0,0,0
2017,143,2,0,1,0
2017,144,6,0,2,0
2017,146,2,0,0,0
2017,147,6,1,1,0
2017,148,15,0,4,0
2017,149,23,2,3,0
2017,150,8,1,0,0
2017,151,13,1,3,0
2017,152,15,0,0,0
2017,153,19,0,3,0
2017,154,2,0,0,0
2017,155,15,1,2,0
2017,156,5,2,0,0
2017,157,2,1,0,0
2017,158,6,2,0,0
2017,160,10,3,0,0
2017,161,11,0,0,0
2017,162,21,1,2,2
2017,163,12,0,7,0
2017,164,7,0,0,0
2017,165,1,0,0,0
2017,166,6,1,3,0
2017,167,20,2,3,1
2017,168,21,2,3,0
2017,169,20,2,5,0
2017,170,8,0,2,0
2017,171,9,0,0,0
2017,172,6,0,0,0
2017,173,5,0,0,0
2017,174,14,0,2,0
2017,175,5,0,2,0
2017,176,45,10,23,32
2017,177,13,0,1,0
2017,178,2,0,0,0
2017,179,1,0,0,0
2017,180,20,0,14,4
2017,181,66,59,176,45
2017,182,14,0,2,0
2017,183,4,0,4,0
2017,184,8,1,27,1
2017,185,3,3,28,0
2017,186,30,3,19,3
2017,187,31,2,3,3
2017,188,29,5,5,1
2017,189,14,2,1,0
2017,190,6,1,0,0
2017,191,15,1,0,0
2017,192,24,3,6,0
2017,193,15,1,5,0
2017,194,5,0,0,0
2017,195,11,1,0,0
2017,197,18,0,4,0
2017,198,21,0,3,0
2017,199,13,0,4,0
2017,200,2,0,0,0
2017,201,0,1,0,0
2017,205,1,0,0,0
2017,208,2,0,2,0
2017,209,15,0,5,0
2017,210,6,2,0,0
2017,211,6,0,0,0
2017,213,2,0,0,0
2017,214,1,1,0,0
2017,215,19,4,3,0
2017,216,8,0,0,0
2017,217,1,0,0,0
2017,218,5,2,0,0
2017,219,5,0,0,0
2017,220,5,0,0,0
2017,221,4,0,1,0
2017,222,11,2,0,0
2017,223,0,0,1,0
2017,224,4,1,0,0
2017,225,8,0,2,0
2017,226,1,0,1,0
2017,227,3,0,3,0
2017,228,0,0,1,0
2017,229,3,0,3,0
2017,230,15,0,6,0
2017,231,30,0,8,0
2017,232,22,1,7,2
2017,233,7,0,0,0
2017,234,3,0,0,0
2017,235,2,1,3,0
2017,236,12,0,3,0
2017,237,3,0,1,0
2017,238,3,0,1,0
2017,239,2,0,0,0
2017,240,5,0,2,0
2017,241,14,1,8,0
2017,244,3,0,0,0
2017,245,2,0,0,0
2017,246,10,0,0,0
2017,247,6,0,2,0
2017,248,1,0,0,0
2017,249,12,0,0,0
2017,250,1,0,0,0
2017,252,2,0,0,0
2017,253,2,0,0,0
2017,254,3,0,2,0
2017,255,1,0,0,0
2017,256,1,0,0,0
2017,257,2,0,0,0
2017,259,8,0,1,0
2017,260,41,0,14,0
2017,261,9,0,0,1
2017,262,6,1,5,0
2017,264,36,3,18,0
2017,265,4,1,7,0
2017,268,1,0,1,0
2017,269,3,0,2,1
2017,270,1,0,0,0
2017,273,12,1,1,0
2017,274,4,0,3,0
2017,288,1,0,0,0
2017,289,1,0,0,0
2017,290,3,0,0,0
2017,292,1,0,0,0
2017,293,1,0,0,0
2017,294,2,0,0,0
2017,295,4,0,1,0
2017,297,2,0,0,0
2017,299,1,0,0,0
2017,300,2,0,0,0
2017,301,1,0,0,0
2017,303,4,0,1,0
2017,305,7,0,0,0
2017,307,6,0,1,0
2017,310,1,0,0,0
2017,311,1,0,0,0
2017,312,3,0,0,0
2017,313,2,0,0,0
2017,314,2,0,0,0
2017,316,1,0,0,0
2017,317,2,0,0,0
2017,318,2,0,1,0
2017,319,3,0,0,0
2017,323,0,0,1,0
2017,327,0,0,1,0
2017,335,1,0,1,0
2017,336,1,0,0,0
2017,341,1,0,0,0
2017,343,4,0,0,1
2017,346,1,0,0,0
2017,350,4,1,1,0
2017,352,1,0,0,0
2017,358,2,1,1,0
2017,359,4,0,2,0
2017,360,3,0,2,0
2017,362,1,0,0,0
2017,364,3,0,0,0
2017,365,14,3,8,1
2017,366,8,1,0,0
2017,371,4,0,0,0
2017,372,10,1,0,0
2017,373,18,3,1,0
2017,374,11,0,0,0
2017,375,32,5,0,0
2017,378,7,1,2,0
2017,379,27,0,0,0
2017,380,18,0,0,0
2017,381,14,0,2,0
2017,382,3,0,0,0
2017,383,29,7,0,0
2017,384,15,1,0,0
2017,385,5,0,1,0
2017,386,64,18,5,0
2017,387,9,7,7,2
2017,388,9,2,8,0
2017,389,16,4,17,1
