Year,Quadrant,Transients,Unknown,"J,K,L Pod",Southern Residents
2017,390,20,1,13,2
2017,391,11,1,8,0
2017,392,15,5,33,1
2017,393,1,0,0,0
2017,394,8,2,20,1
2017,395,9,1,7,0
2017,396,5,0,2,0
2017,397,20,3,18,1
2017,398,44,4,17,1
2017,399,5,0,0,0
2017,400,15,4,14,2
2017,401,94,17,66,13
2017,402,39,5,28,5
2017,403,12,2,2,1
2017,404,9,0,11,1
2017,405,13,0,2,0
2017,406,3,0,0,0
2017,407,34,10,25,6
2017,408,33,5,43,5
2017,409,18,4,8,1
2017,410,23,4,24,12
2017,411,61,0,3,0
2017,412,32,2,14,2
2017,413,28,9,30,2
2017,414,21,8,35,1
2017,415,13,5,10,0
2017,416,15,3,6,0
2017,417,29,2,1,0
2017,418,14,2,1,0
2017,419,21,3,10,0
2017,420,29,8,5,0
2017,421,16,3,0,0
2017,422,50,8,2,0
2017,423,29,2,0,0
2017,424,12,2,0,0
2017,425,10,0,0,0
2017,426,26,6,0,0
2017,427,5,2,0,0
2017,428,3,1,0,0
2017,429,8,2,0,0
2017,430,12,3,0,0
2017,431,6,2,0,0
2017,432,73,8,0,0
2017,433,59,2,0,0
2017,435,1,0,0,0
2017,440,1,0,0,0
2017,441,1,0,0,0
2017,445,1,0,1,0
2017,NA,176,70,51,4
2018,4,1,0,0,0
2018,5,1,0,0,0
2018,11,2,0,0,0
2018,12,2,0,1,0
2018,13,3,0,0,0
2018,14,3,1,0,0
2018,15,8,0,0,0
2018,16,2,0,0,0
2018,17,2,0,0,1
2018,18,2,0,0,0
2018,20,6,0,3,0
2018,21,3,0,0,0
2018,22,2,0,0,0
2018,23,3,0,0,0
2018,28,0,0,0,1
2018,29,1,0,0,0
2018,30,1,0,0,0
2018,31,2,0,0,0
2018,32,0,1,0,0
2018,33,2,0,0,0
2018,34,1,0,0,0
2018,35,1,0,0,0
2018,36,2,0,0,0
2018,37,1,0,0,0
2018,41,1,0,0,0
2018,42,0,0,1,0
2018,44,1,0,0,0
2018,45,1,0,0,0
2018,46,4,0,1,1
2018,47,0,0,0,1
2018,48,5,0,0,0
2018,49,1,0,1,0
2018,52,3,0,0,0
2018,53,3,0,0,0
2018,54,20,0,1,0
2018,55,12,0,1,0
2018,56,1,0,0,0
2018,57,2,0,0,0
2018,58,2,0,0,0
2018,59,2,0,0,2
2018,60,5,0,3,0
2018,64,4,0,5,0
2018,65,6,0,2,1
2018,66,4,0,0,0
2018,67,1,0,0,0
2018,68,4,0,0,0
2018,69,4,0,0,0
2018,70,3,0,0,0
2018,71,4,1,0,0
2018,72,2,0,0,0
2018,73,4,0,0,0
2018,74,4,0,0,0
2018,75,3,0,0,0
2018,76,3,0,0,0
2018,77,3,0,5,2
2018,78,1,0,0,0
2018,79,0,0,5,0
2018,80,3,0,10,1
2018,81,3,0,1,1
2018,82,6,0,3,0
2018,83,6,0,1,0
2018,85,3,0,0,0
2018,86,1,0,0,0
2018,87,9,0,0,0
2018,88,4,0,0,0
2018,89,2,0,0,0
2018,90,8,0,0,0
2018,91,2,0,0,0
2018,93,4,0,0,0
2018,94,1,0,0,0
2018,95,2,0,1,0
2018,96,1,0,0,0
2018,97,11,0,14,1
2018,101,0,0,1,0
2018,104,1,0,0,0
2018,108,0,0,1,0
2018,111,0,0,1,0
2018,112,1,0,0,0
2018,113,2,0,2,0
2018,114,2,0,0,0
2018,115,1,0,0,0
2018,116,4,0,0,0
2018,117,1,0,2,0
2018,118,2,0,2,0
2018,119,7,0,0,0
2018,120,5,0,0,0
2018,121,8,0,0,0
2018,122,12,0,0,0
2018,123,43,3,22,7
2018,124,12,0,6,0
2018,125,1,0,0,0
2018,126,1,0,0,0
2018,127,2,0,1,0
2018,131,0,0,1,0
2018,132,1,0,0,0
2018,134,1,0,0,0
2018,135,0,0,3,0
2018,136,3,0,0,0
2018,137,1,0,0,0
2018,138,5,0,3,0
2018,139,3,1,3,0
2018,140,6,0,0,0
2018,141,8,1,0,0
2018,142,6,0,0,0
2018,143,1,0,0,0
2018,144,1,0,0,0
2018,145,1,0,0,0
2018,147,1,0,0,0
2018,148,6,0,1,1
2018,149,15,0,3,0
2018,150,27,0,2,2
2018,151,25,1,11,0
2018,152,16,0,4,0
2018,153,15,0,16,1
2018,154,6,1,0,0
2018,155,25,0,13,2
2018,156,9,1,0,0
2018,157,3,0,0,0
2018,158,9,0,0,0
2018,159,2,0,0,0
2018,160,6,2,0,0
2018,161,8,0,0,0
2018,162,23,1,13,2
2018,163,16,0,14,0
2018,164,6,0,0,1
2018,165,2,0,0,0
2018,166,8,0,1,1
2018,167,24,0,4,0
2018,168,36,0,3,0
2018,169,28,0,13,1
2018,170,4,0,6,0
2018,171,8,0,0,0
2018,172,12,2,0,0
2018,173,5,2,0,0
2018,174,3,1,0,0
2018,175,6,0,0,0
2018,176,21,10,26,7
2018,177,9,0,3,0
2018,179,1,0,0,0
2018,180,6,0,4,1
2018,181,81,30,250,113
2018,182,4,0,0,0
2018,183,2,0,0,0
2018,184,4,1,19,2
2018,185,5,5,24,11
2018,186,27,1,39,7
2018,187,24,2,2,0
2018,188,54,1,7,2
2018,189,10,2,0,0
2018,190,2,0,0,0
2018,191,15,0,0,1
2018,192,33,1,5,0
2018,193,7,0,3,3
2018,194,15,0,0,0
2018,195,13,0,0,0
2018,196,3,0,0,0
2018,197,4,0,0,0
2018,198,2,1,0,0
2018,199,3,0,3,0
2018,201,2,2,0,0
2018,207,1,0,0,0
2018,208,2,0,0,0
2018,209,6,0,0,2
2018,210,14,0,1,0
2018,211,4,0,0,0
2018,212,0,1,0,0
2018,213,2,1,0,0
2018,214,2,1,0,0
2018,215,15,3,4,1
2018,216,10,3,0,0
2018,217,0,1,0,0
2018,218,14,0,0,0
2018,219,8,1,1,0
2018,220,8,0,0,0
2018,221,5,0,0,0
2018,222,29,0,0,0
2018,224,6,0,0,1
2018,225,10,2,4,2
2018,227,1,0,4,0
2018,228,1,0,0,0
2018,229,3,0,0,0
2018,230,4,0,4,0
2018,231,13,1,4,0
2018,232,14,0,5,0
2018,233,4,0,3,0
2018,234,2,0,0,0
2018,236,3,0,7,0
2018,237,2,0,0,0
2018,238,1,0,0,0
2018,241,7,1,8,1
2018,242,2,0,0,0
2018,245,1,0,0,0
2018,246,1,0,1,0
2018,247,6,1,1,0
2018,249,7,0,7,0
2018,250,1,0,0,0
2018,256,1,0,0,0
2018,257,1,0,1,0
2018,260,18,0,7,0
2018,261,2,0,3,0
2018,262,7,0,5,0
2018,264,26,0,26,3
2018,265,4,0,5,0
2018,268,0,0,1,0
2018,269,3,0,3,3
2018,272,0,0,0,1
2018,273,3,0,8,0
2018,274,1,0,7,2
2018,280,0,0,2,0
2018,284,0,1,0,0
2018,290,1,0,0,1
2018,291,1,0,0,0
2018,292,0,0,0,1
2018,293,1,0,0,1
2018,294,4,0,1,2
2018,296,2,0,0,0
2018,300,1,0,0,0
2018,301,1,0,0,0
2018,302,1,0,0,0
2018,303,6,0,2,0
2018,305,3,0,0,0
2018,307,9,0,2,0
2018,310,1,0,0,0
2018,312,2,0,0,1
2018,316,0,0,1,0
2018,318,0,0,1,0
2018,319,0,1,1,0
2018,325,1,0,0,0
2018,327,0,0,1,1
2018,334,0,0,1,0
2018,335,2,0,0,0
2018,336,0,1,0,0
2018,340,2,0,0,0
2018,343,9,0,4,0
2018,350,7,1,0,0
2018,351,1,0,0,0
2018,352,2,0,0,0
2018,358,3,0,0,0
2018,359,5,3,1,0
2018,360,2,0,1,0
2018,362,2,0,0,0
2018,363,2,0,0,0
2018,364,3,0,0,0
2018,365,23,3,2,0
2018,366,8,0,0,0
2018,367,1,0,0,0
2018,368,2,0,0,0
2018,371,1,0,0,0
2018,372,6,0,0,0
2018,373,12,4,0,0
2018,374,7,2,0,0
2018,375,30,4,13,0
2018,378,12,0,0,0
2018,379,13,0,8,0
2018,380,3,0,0,0
2018,381,10,0,5,0
2018,382,2,0,0,0
2018,383,14,0,9,0
2018,384,29,2,5,0
2018,385,7,0,0,0
2018,386,54,3,14,0
2018,387,24,1,6,0
2018,388,8,0,1,0
2018,389,15,1,5,1
2018,390,18,0,3,0
2018,391,21,3,5,0
2018,392,20,7,11,7
2018,393,1,0,1,0
2018,394,23,2,13,0
2018,395,3,2,4,0
2018,396,7,0,2,0
2018,397,17,0,27,1
2018,398,29,0,16,0
2018,399,1,1,6,0
2018,400,9,0,8,0
2018,401,62,2,60,4
2018,402,25,1,21,0
2018,403,9,0,2,0
2018,404,8,0,8,0
2018,405,8,0,0,0
2018,406,3,0,0,0
2018,407,35,0,24,0
2018,408,34,0,29,0
2018,409,16,1,4,0
2018,410,29,0,22,1
2018,411,20,0,0,0
2018,412,35,0,30,0
2018,413,19,0,23,1
2018,414,25,0,29,0
2018,415,14,0,15,1
2018,416,9,0,10,0
2018,417,27,0,12,0
2018,418,14,0,6,0
2018,419,10,0,17,0
2018,420,35,1,41,0
2018,421,4,1,12,0
2018,422,58,3,7,0
2018,423,19,0,0,0
2018,424,13,0,0,0
2018,425,19,1,0,0
2018,426,35,0,0,0
2018,427,7,0,0,0
2018,428,5,0,0,0
2018,429,9,0,0,0
2018,430,18,1,0,0
2018,432,21,0,0,0
2018,433,32,0,0,0
2018,434,11,1,0,0
2018,435,1,0,0,0
2018,436,4,0,0,0
2018,437,11,1,0,0
2018,438,7,0,0,0
2018,439,3,0,0,0
2018,440,3,0,0,0
2018,442,16,0,0,0
2018,443,1,0,0,0
2018,445,3,1,0,0
2018,NA,336,15,61,17
2019,14,4,0,0,0
2019,17,4,1,0,0
2019,18,4,0,0,0
2019,20,3,0,0,0
2019,32,6,0,0,0
2019,33,5,1,0,0
2019,34,3,1,0,0
2019,45,4,0,0,0
2019,53,4,1,0,0
2019,54,26,4,0,0
2019,55,19,2,0,0
2019,64,9,5,1,0
2019,71,0,1,0,0
2019,72,6,0,0,0
2019,77,1,1,0,0
2019,79,1,0,1,0
2019,80,6,1,0,0
2019,82,15,0,0,0
2019,86,1,0,0,0
2019,87,21,1,2,0
2019,88,4,0,0,0
2019,89,3,0,0,0
2019,90,1,1,0,0
2019,97,8,6,1,0
2019,99,1,0,0,0
2019,101,2,0,1,1
2019,104,1,0,0,0
2019,112,1,0,0,0
2019,113,1,0,1,0
2019,117,1,0,0,0
2019,118,3,0,2,0
2019,119,15,3,2,0
2019,120,1,1,0,0
2019,121,1,0,0,0
2019,122,3,0,0,0
2019,123,42,12,8,3
2019,124,23,3,1,0
2019,127,1,0,0,0
2019,128,4,0,1,0
2019,129,2,0,0,0
2019,132,2,0,0,0
2019,134,1,0,0,0
2019,135,1,0,0,0
2019,136,6,0,2,0
2019,137,5,0,0,0
2019,138,16,1,1,0
2019,139,2,0,0,0
2019,140,1,2,2,0
2019,141,4,0,0,0
2019,142,5,0,0,0
2019,143,1,0,0,0
2019,144,2,0,1,0
2019,146,1,0,0,1
2019,147,3,0,0,0
2019,148,7,1,3,0
2019,149,11,0,1,0
2019,150,18,0,6,1
2019,151,15,2,4,1
2019,152,25,1,5,1
2019,153,9,0,2,0
2019,154,10,1,0,0
2019,155,21,1,0,0
2019,156,9,1,2,0
2019,157,3,0,0,0
2019,158,16,0,0,0
2019,159,10,1,0,0
2019,160,16,1,0,0
2019,161,13,1,0,0
2019,162,27,2,4,0
2019,163,20,3,3,0
2019,164,21,2,2,1
2019,165,12,0,1,0
2019,166,8,1,0,0
2019,167,14,1,1,0
2019,168,21,2,0,0
2019,169,29,1,12,0
2019,170,19,0,13,0
2019,171,10,0,0,0
2019,172,6,0,0,0
2019,173,3,0,0,0
2019,174,7,0,1,0
2019,175,13,0,3,0
2019,176,17,2,25,1
2019,177,9,1,3,0
2019,180,18,1,8,0
2019,181,60,45,139,32
2019,182,6,2,0,0
2019,183,6,0,2,0
2019,184,10,8,60,2
2019,185,6,7,23,0
2019,186,29,6,5,0
2019,187,25,7,3,0
2019,188,46,8,3,1
2019,189,20,4,2,0
2019,190,5,2,0,0
2019,191,19,2,0,0
2019,192,16,0,0,0
2019,193,14,4,2,0
2019,194,3,0,2,0
2019,195,11,1,1,0
2019,196,4,1,0,0
2019,197,8,0,0,0
2019,198,7,1,2,0
2019,199,3,0,1,0
2019,201,1,1,0,0
2019,208,2,0,0,0
2019,209,2,2,5,0
2019,210,3,0,2,0
2019,211,2,2,0,0
2019,213,1,0,0,0
2019,214,2,5,0,0
2019,215,11,4,1,1
2019,216,3,3,0,0
2019,217,1,1,0,0
2019,218,2,1,1,0
2019,219,3,4,1,0
2019,220,4,1,0,0
2019,221,6,0,0,0
2019,222,6,1,2,0
2019,223,1,0,0,0
2019,224,6,1,1,0
2019,225,13,0,0,0
2019,226,1,0,1,0
2019,227,1,0,6,0
2019,228,0,0,1,0
2019,230,5,2,1,0
2019,231,4,2,1,0
2019,232,7,3,3,0
2019,233,3,3,1,0
2019,235,1,0,0,0
2019,236,7,2,3,0
2019,237,1,0,1,0
2019,238,2,1,1,0
2019,241,7,0,2,0
2019,244,2,1,0,0
2019,247,14,6,1,0
2019,248,1,0,0,0
2019,249,4,0,0,0
2019,252,2,0,0,0
2019,258,1,0,0,0
2019,259,1,1,1,0
2019,260,19,1,2,1
2019,261,3,0,0,0
2019,262,5,2,0,0
2019,264,19,1,4,1
2019,265,2,3,0,0
2019,269,5,0,1,0
2019,273,2,5,9,1
2019,274,2,2,0,0
2019,294,2,0,1,0
2019,295,2,0,0,0
2019,301,2,0,0,0
2019,302,1,0,0,0
2019,303,1,0,0,0
2019,305,7,1,0,0
2019,307,8,1,1,0
2019,312,1,0,0,0
2019,318,1,0,0,0
2019,319,1,0,0,0
2019,335,1,0,0,0
2019,343,11,4,0,0
2019,347,1,0,0,0
2019,350,1,0,0,0
2019,351,0,1,0,0
2019,352,2,1,0,0
2019,357,1,0,0,0
2019,358,1,2,0,0
2019,359,2,1,0,0
2019,360,2,0,0,0
2019,364,1,0,1,0
2019,365,10,2,6,0
2019,366,4,0,0,0
2019,368,1,0,0,0
2019,372,4,9,1,0
2019,373,10,5,0,0
2019,374,1,7,0,0
2019,375,18,35,6,0
2019,376,0,1,0,0
2019,378,13,7,2,0
2019,379,9,17,4,0
2019,380,2,0,0,0
2019,381,10,16,2,1
2019,382,1,0,0,0
2019,383,27,15,14,3
2019,384,23,13,12,6
2019,385,0,1,0,0
2019,386,50,45,38,2
2019,387,11,7,11,0
2019,388,8,2,7,0
2019,389,14,5,2,1
2019,390,20,9,8,0
2019,391,11,7,5,0
2019,392,22,14,24,0
2019,393,1,0,1,0
2019,394,28,6,20,1
2019,395,8,3,12,0
2019,396,13,3,5,0
2019,397,4,11,23,0
2019,398,19,17,34,4
2019,399,1,1,8,0
2019,400,3,19,38,2
2019,401,64,55,84,5
2019,402,25,21,27,1
2019,403,5,1,6,1
2019,404,10,6,13,1
2019,405,2,2,4,0
2019,406,10,1,1,0
2019,407,32,19,28,9
2019,408,25,38,15,12
2019,409,10,12,4,6
2019,410,37,31,18,4
2019,411,68,1,4,1
2019,412,37,20,12,3
2019,413,23,27,9,2
2019,414,27,36,21,0
2019,415,13,16,14,0
2019,416,23,33,20,0
2019,417,27,14,4,1
2019,418,11,4,3,0
2019,419,23,25,39,0
2019,420,41,34,33,0
2019,421,11,11,10,0
2019,422,50,34,3,0
2019,423,17,16,0,0
2019,424,25,8,0,0
2019,425,28,1,0,0
2019,426,25,19,0,0
2019,427,0,2,0,0
2019,428,8,4,0,0
2019,429,3,0,0,0
2019,430,0,1,0,0
2019,432,0,2,0,0
2019,433,10,1,0,0
2019,434,3,1,0,0
2019,437,0,1,0,0
2019,438,0,2,0,0
2019,445,4,1,0,0
2019,999,3,0,0,0
2019,NA,205,70,49,5
2020,2,0,1,0,0
2020,14,0,1,0,0
2020,32,2,1,3,0
2020,33,1,1,1,0
2020,53,2,0,1,0
2020,54,4,3,1,0
2020,55,0,1,0,0
2020,64,0,1,0,0
2020,72,0,1,0,0
2020,79,0,2,2,0
2020,80,0,1,0,0
2020,82,0,0,0,4
2020,86,1,0,0,0
2020,90,2,0,0,0
2020,96,0,0,0,2
2020,97,2,2,5,0
2020,101,1,0,0,0
2020,107,1,0,0,0
2020,113,0,0,1,0
2020,119,4,4,0,0
2020,122,2,0,0,0
2020,123,23,9,17,0
2020,124,2,0,5,0
2020,129,1,0,0,0
2020,135,1,0,0,0
2020,138,0,1,0,0
2020,139,0,1,0,0
2020,140,1,0,1,0
2020,141,0,1,1,0
2020,146,3,0,0,0
2020,148,2,2,1,0
2020,149,9,3,1,0
2020,150,9,0,0,0
2020,151,2,0,2,1
2020,152,7,2,8,0
2020,153,4,2,8,0
2020,154,5,1,0,0
2020,155,6,1,2,0
2020,156,6,1,0,0
2020,158,2,0,0,0
2020,160,6,0,0,0
2020,161,4,0,0,0
2020,162,7,0,1,0
2020,163,4,0,1,0
2020,164,9,1,5,0
2020,165,2,0,0,0
2020,166,2,0,0,0
2020,167,9,2,0,0
2020,168,23,3,2,0
2020,169,35,9,3,0
2020,170,12,1,8,0
2020,171,0,2,0,0
2020,172,3,1,0,0
2020,173,4,0,1,0
2020,175,0,0,4,0
2020,176,23,11,43,0
2020,177,0,0,2,0
2020,180,2,0,0,0
2020,181,90,51,266,50
2020,182,8,1,0,0
2020,183,5,0,1,0
2020,184,14,2,97,0
2020,185,12,5,57,40
2020,186,27,4,23,9
2020,187,15,8,3,0
2020,188,35,8,6,0
2020,189,21,7,1,0
2020,190,3,1,0,0
2020,191,14,5,1,0
2020,192,18,6,3,0
2020,193,4,2,2,0
2020,194,1,1,0,0
2020,195,5,0,0,0
2020,196,5,1,0,0
2020,197,9,2,0,0
2020,198,4,0,2,0
2020,200,1,1,0,0
2020,201,1,11,0,0
2020,202,0,1,0,0
2020,204,2,0,0,0
2020,205,0,1,0,0
2020,207,0,2,0,0
2020,209,3,6,1,0
2020,210,1,4,2,0
2020,211,2,3,0,0
2020,212,1,1,0,0
2020,214,1,1,0,0
2020,215,13,6,0,0
2020,216,2,0,0,0
2020,217,0,1,0,0
2020,218,4,0,1,0
2020,219,5,3,0,0
2020,220,3,1,0,0
2020,221,4,0,0,0
2020,222,8,6,0,0
2020,223,4,0,0,0
2020,224,4,0,0,0
2020,225,5,0,0,0
2020,226,1,0,2,0
2020,227,2,0,5,0
2020,228,8,0,2,0
2020,229,0,0,1,0
2020,230,4,1,1,0
2020,231,2,2,1,0
2020,232,5,0,2,0
2020,233,2,1,0,0
2020,236,5,2,1,0
2020,238,2,1,2,0
2020,239,0,0,1,0
2020,240,0,0,3,0
2020,241,5,1,4,0
2020,242,0,0,2,0
2020,244,1,0,0,0
2020,246,2,0,0,0
2020,247,3,0,2,0
2020,249,5,1,0,0
2020,250,0,1,0,0
2020,251,0,0,1,0
2020,253,0,0,3,0
2020,254,0,0,3,0
2020,255,0,0,1,0
2020,260,2,1,7,0
2020,262,9,0,0,0
2020,264,15,3,11,0
2020,265,1,1,2,0
2020,268,1,0,0,0
2020,269,1,0,0,0
2020,273,3,1,6,0
2020,294,2,0,1,0
2020,299,0,0,3,0
2020,301,2,0,0,0
2020,302,1,0,0,0
2020,303,1,1,1,0
2020,305,1,3,0,0
2020,306,1,0,0,0
2020,307,4,1,5,0
2020,335,0,0,1,0
2020,336,1,0,0,0
2020,339,0,0,0,1
2020,343,3,1,3,0
2020,350,1,0,0,0
2020,353,1,0,0,0
2020,358,1,2,0,0
2020,359,2,6,0,0
2020,360,1,0,0,0
2020,363,2,0,0,0
2020,365,17,13,10,0
2020,366,4,1,0,0
2020,367,1,0,0,0
2020,368,2,1,0,0
2020,371,1,0,0,0
2020,372,13,0,0,0
2020,373,23,1,0,0
2020,374,13,2,0,0
2020,375,43,3,0,0
2020,377,1,0,0,0
2020,378,14,6,0,0
2020,379,34,3,5,0
2020,380,15,0,2,0
2020,381,20,1,1,0
2020,382,4,0,0,0
2020,383,31,4,5,0
2020,384,32,3,8,0
2020,385,2,0,0,0
2020,386,67,13,15,0
2020,387,6,6,17,0
2020,388,19,3,11,0
2020,389,5,9,1,0
2020,390,14,4,17,0
2020,391,11,7,7,0
2020,392,9,10,46,0
2020,393,1,0,0,0
2020,394,8,8,8,0
2020,395,1,1,3,0
2020,396,2,2,3,0
2020,397,3,4,2,0
2020,398,11,4,6,0
2020,399,3,1,6,0
2020,400,1,4,6,0
2020,401,44,29,74,0
2020,402,10,7,29,0
2020,403,0,0,7,0
2020,404,3,2,7,0
2020,405,9,3,1,0
2020,406,10,4,4,0
2020,407,29,18,68,0
2020,408,39,8,49,0
2020,409,13,8,23,0
2020,410,24,8,24,0
2020,411,23,4,0,0
2020,412,64,10,35,0
2020,413,30,2,37,0
